#    a1_rew     a2_rew     a3_rew     a4_rew     cum_rew     action1     action2     action3   action4  untagged
        64         60         66         60        250          3          3          7          1          4
        66         81         54         88        289          1          6          0          3          3
        76         40         93         64        273          2          4          3          2          3
        50         90         47         71        258          0          0          1          1          4
        72         89         83         78        322          4          6          2          5          4
        74         77         50         53        254          4          5          7          4          2
        39         70         65         70        244          5          3          4          4          4
        85         68         45         53        251          1          6          6          3          2
        63         76         71         84        294          5          2          7          0          2
        50         86         94         75        305          6          2          4          2          4
